,x,y,z,action,seq
1.60315704346,233.0,226.0,6.0,,
1.61315703392,233.0,220.0,255.0,,
1.62315821648,234.0,220.0,254.0,,
1.63315606117,241.0,228.0,5.0,,
1.64315605164,242.0,221.0,7.0,,
1.65316009521,233.0,222.0,0.0,,
1.663159132,234.0,223.0,255.0,,
1.67315411568,228.0,236.0,5.0,,
1.68315505981,231.0,220.0,3.0,,
1.69316411018,237.0,216.0,255.0,,
1.70320701599,233.0,215.0,252.0,,
1.71315312386,239.0,214.0,3.0,,
1.72318315506,237.0,217.0,2.0,,
1.73320603371,240.0,225.0,,,
1.74317908287,243.0,220.0,254.0,,
1.75315618515,234.0,218.0,3.0,,
1.76315522194,236.0,224.0,3.0,,
1.77315211296,241.0,215.0,4.0,,
1.78315711021,237.0,221.0,4.0,,
1.79315304756,238.0,215.0,0.0,,
1.80315613747,236.0,217.0,0.0,,
1.81315803528,229.0,215.0,3.0,,
1.82315707207,234.0,222.0,4.0,,
1.83315420151,228.0,224.0,5.0,,
1.84315609932,231.0,228.0,0.0,,
1.85315704346,235.0,223.0,254.0,,
1.86315703392,245.0,223.0,254.0,,
1.87315320969,241.0,219.0,2.0,,
1.88315606117,240.0,219.0,254.0,,
1.89316606522,233.0,219.0,253.0,,
1.90315914154,240.0,230.0,255.0,,
1.91315317154,241.0,220.0,4.0,,
1.92315411568,241.0,217.0,250.0,,
1.93315601349,242.0,226.0,253.0,,
1.94315719604,234.0,217.0,254.0,,
1.95316004753,231.0,232.0,2.0,,
1.96315813065,223.0,226.0,255.0,,
1.97316813469,242.0,230.0,255.0,,
1.98315620422,239.0,208.0,0.0,,
1.99315214157,237.0,216.0,0.0,,
2.00315308571,232.0,220.0,7.0,,
2.01315522194,240.0,212.0,4.0,,
2.02315807343,232.0,226.0,0.0,,
2.03315210342,234.0,214.0,255.0,,
2.04315114021,232.0,221.0,2.0,,
2.05315518379,237.0,225.0,4.0,,
2.06315422058,244.0,222.0,254.0,,
2.07315301895,237.0,225.0,2.0,,
2.08315110207,231.0,222.0,4.0,,
2.09315514565,228.0,222.0,5.0,,
2.10315704346,233.0,220.0,4.0,,
2.11316418648,236.0,226.0,2.0,,
2.12315511703,231.0,241.0,3.0,,
2.13315415382,239.0,231.0,1.0,,
2.14315700531,245.0,225.0,249.0,,
2.1531560421,234.0,235.0,252.0,,
2.16315317154,238.0,224.0,1.0,,
2.17315411568,231.0,245.0,252.0,,
2.18315601349,232.0,223.0,251.0,,
2.19315123558,234.0,225.0,255.0,,
2.20315313339,232.0,215.0,254.0,,
2.21316003799,230.0,228.0,5.0,,
2.22320508957,237.0,217.0,1.0,,
2.23317122459,239.0,222.0,4.0,,
2.24315309525,221.0,219.0,10.0,,
2.25315523148,232.0,217.0,5.0,,
2.26315617561,233.0,215.0,5.0,,
2.2731552124,232.0,225.0,4.0,,
2.28315114975,224.0,231.0,6.0,,
2.29315519333,221.0,219.0,2.0,,
2.30316710472,237.0,220.0,252.0,,
2.31315422058,236.0,227.0,251.0,,
2.3231511116,233.0,216.0,1.0,,
2.33315515518,235.0,214.0,251.0,,
2.34315419197,231.0,232.0,248.0,,
2.35315108299,247.0,207.0,251.0,,
2.36315107346,241.0,225.0,252.0,,
2.37315416336,234.0,218.0,1.0,,
2.38315320015,237.0,223.0,2.0,,
2.39315104485,237.0,219.0,254.0,,
2.40315008163,225.0,222.0,4.0,,
2.4131770134,230.0,225.0,8.0,,
2.4231672287,229.0,224.0,8.0,,
2.43315410614,232.0,221.0,6.0,,
2.44315314293,240.0,222.0,255.0,,
2.45315718651,242.0,215.0,2.0,,
2.4631550312,242.0,220.0,0.0,,
2.47315216064,235.0,231.0,1.0,,
2.48315119743,233.0,231.0,4.0,,
2.49315500259,240.0,216.0,255.0,,
2.50315713882,239.0,205.0,2.0,,
2.5131521225,234.0,231.0,5.0,,
2.52315211296,238.0,208.0,0.0,,
2.53315520287,239.0,225.0,253.0,,
2.543156147,227.0,219.0,251.0,,
2.55315303802,237.0,227.0,5.0,,
2.56315302849,232.0,218.0,11.0,,
2.57315516472,238.0,210.0,4.0,,
2.58315515518,233.0,238.0,0.0,,
2.59319114685,223.0,229.0,251.0,,
2.60315108299,238.0,231.0,1.0,,
2.61315703392,239.0,207.0,6.0,,
2.62315511703,229.0,233.0,2.0,,
2.63315320015,239.0,224.0,4.0,,
2.64315104485,242.0,219.0,0.0,,
2.65316104889,234.0,221.0,0.0,,
2.66315317154,236.0,229.0,3.0,,
2.67315220833,232.0,223.0,1.0,,
2.68315315247,237.0,212.0,7.0,,
2.69315314293,239.0,213.0,254.0,,
2.70315718651,227.0,219.0,2.0,,
2.71316218376,231.0,233.0,0.0,,
2.72318410873,235.0,234.0,0.0,,
2.73320102692,240.0,218.0,2.0,,
2.74316310883,236.0,207.0,255.0,,
2.75315308571,240.0,219.0,4.0,,
2.76315116882,236.0,222.0,1.0,,
2.77320313454,232.0,227.0,253.0,,
2.78315615654,232.0,218.0,3.0,,
2.79315209389,241.0,203.0,1.0,,
2.80315208435,230.0,225.0,0.0,,
